support,itemsets
0.3232169954476479,"frozenset({'Nest Cam Indoor Security Camera - USA', 'Google Laptop and Cell Phone Stickers'})"
0.3118361153262519,"frozenset({'Nest Cam Outdoor Security Camera - USA', 'Google Laptop and Cell Phone Stickers'})"
0.11305007587253414,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - Copper', 'Google Laptop and Cell Phone Stickers'})"
0.3125948406676783,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel', 'Google Laptop and Cell Phone Stickers'})"
0.20561456752655538,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - White', 'Google Laptop and Cell Phone Stickers'})"
0.23975720789074356,"frozenset({'Nest Protect Smoke + CO White Battery Alarm-USA', 'Google Laptop and Cell Phone Stickers'})"
0.21471927162367224,"frozenset({'Nest Protect Smoke + CO White Wired Alarm-USA', 'Google Laptop and Cell Phone Stickers'})"
0.10242792109256449,"frozenset({'Nest Secure Alarm System Starter Pack - USA', 'Google Laptop and Cell Phone Stickers'})"
0.12139605462822459,"frozenset({'Nest Thermostat E - USA', 'Google Laptop and Cell Phone Stickers'})"
0.10091047040971168,"frozenset({'Red Shine 15 oz Mug', 'Google Laptop and Cell Phone Stickers'})"
0.13429438543247343,"frozenset({'Sport Bag', 'Google Laptop and Cell Phone Stickers'})"
0.1236722306525038,"frozenset({'Windup Android', 'Google Laptop and Cell Phone Stickers'})"
0.15933232169954475,"frozenset({'YouTube Custom Decals', 'Google Laptop and Cell Phone Stickers'})"
0.15402124430955993,"frozenset({'Nest Cam Indoor Security Camera - USA', ""Google Men's  Zip Hoodie""})"
0.15477996965098634,"frozenset({""Google Men's  Zip Hoodie"", 'Nest Cam Outdoor Security Camera - USA'})"
0.15402124430955993,"frozenset({'Nest Learning Thermostat 3rd Gen-USA - Stainless Steel', ""Google Men's  Zip Hoodie""})"
0.12139605462822459,"frozenset({'Nest Protect Smoke + CO White Battery Alarm-USA', ""Google Men's  Zip Hoodie""})"
0.11077389984825493,"frozenset({'Nest Protect Smoke + CO White Wired Alarm-USA', ""Google Men's  Zip Hoodie""})"
0.1039453717754173,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Black"", ""Google Men's 100% Cotton Short Sleeve Hero Tee Navy""})"
0.11380880121396054,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Black"", ""Google Men's 100% Cotton Short Sleeve Hero Tee White""})"
0.1054628224582701,"frozenset({""Google Men's Vintage Badge Tee Black"", ""Google Men's 100% Cotton Short Sleeve Hero Tee Black""})"
0.1433990895295903,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Black"", 'Google Sunglasses'})"
0.11229135053110774,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Black"", 'Google Twill Cap'})"
0.2306525037936267,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Black"", 'Nest Cam Indoor Security Camera - USA'})"
0.2268588770864947,"frozenset({""Google Men's 100% Cotton Short Sleeve Hero Tee Black"", 'Nest Cam Outdoor Security Camera - USA'})"
