Product_Description,1,2,3,4,5,6,7,8,9,10,11,12,Cluster_Producte
Google Men's Quilted Insulated Vest Battleship Grey,8,1,16,16,7,9,13,12,3,4,6,0,3
Google Men's Quilted Insulated Vest Black,8,17,14,5,7,4,20,12,7,4,22,0,3
Google Men's Short Sleeve Badge Tee Charcoal,19,6,15,17,18,20,41,20,9,35,15,0,3
Google Men's Short Sleeve Hero Tee Charcoal,13,13,13,15,27,21,60,34,14,23,0,0,3
Google Men's Short Sleeve Hero Tee Heather,12,8,14,14,7,12,8,14,3,1,0,0,3
Google Men's Short Sleeve Hero Tee Light Blue,0,0,6,11,5,13,13,11,2,0,0,0,1
Google Men's Short Sleeve Performance Badge Tee Black,8,6,18,11,24,32,9,11,11,13,0,0,1
Google Men's Short Sleeve Performance Badge Tee Charcoal,3,1,1,6,3,7,36,30,9,5,0,0,5
Google Men's Short Sleeve Performance Badge Tee Navy,9,4,14,8,34,17,1,1,0,0,0,0,6
Google Men's Short Sleeve Performance Badge Tee Pewter,4,0,13,13,17,23,33,51,8,4,0,0,5
Google Men's Skater Tee Grey,4,4,8,18,26,11,23,28,12,0,0,0,1
Google Men's Vintage Badge Tee Black,6,8,12,26,108,78,107,101,38,12,0,0,1
Google Men's Vintage Badge Tee Sage,1,2,4,5,35,36,70,71,93,50,0,0,5
Google Men's Vintage Badge Tee White,3,6,6,19,22,24,56,131,56,12,1,0,5
Google Men's Vintage Tank,3,5,9,25,24,16,7,3,14,4,1,0,1
Google Men's Watershed Full Zip Hoodie Grey,4,4,31,24,16,11,27,31,19,9,0,0,3
Google Metallic Notebook Set,25,20,29,15,24,24,18,28,38,33,74,50,0
Google Onesie Green,11,5,8,8,11,5,11,0,0,0,0,0,7
Google Onesie Red,6,6,12,7,5,3,9,0,0,0,0,0,4
Google Onesie Red/Graphite,2,5,5,4,3,5,13,18,13,1,0,0,5
Google Onesie Royal Blue,3,8,9,6,0,0,0,0,0,0,0,0,4
Google Pet Feeding Mat,5,1,6,4,6,12,15,22,23,20,1,0,5
Google RFID Journal,6,1,4,10,4,10,31,63,4,0,0,1,5
Google Rolltop Backpack Blue,0,0,0,0,0,0,0,0,0,1,11,15,0
Google Rucksack,10,17,15,16,9,10,13,7,18,14,32,20,3
Google Slim Utility Travel Bag,4,5,4,2,5,6,23,2,0,0,0,0,1
Google Snapback Hat Black,0,4,9,3,5,3,21,0,0,0,0,0,1
Google Spiral Journal with Pen,12,3,10,8,5,4,18,30,0,1,0,1,5
Google Spiral Leather Journal,0,2,1,2,4,3,7,19,6,1,0,0,5
Google Stretch Fit Hat L/XL Navy,1,1,1,4,0,0,0,0,0,0,0,0,7
Google Stretch Fit Hat M/L Navy,1,6,2,12,0,0,0,0,0,0,0,0,7
Google Stretch Fit Hat S/M Navy,2,3,1,8,1,0,0,0,0,0,0,0,7
Google Stylus Pen w/ LED Light,15,14,9,9,8,11,8,6,17,35,27,22,0
Google Sunglasses,75,99,103,129,133,142,172,222,148,182,87,31,3
Google Toddler 1/4 Zip Fleece Pewter,4,2,4,2,1,1,0,0,0,0,0,0,4
Google Toddler Hoodie Royal Blue,7,5,1,8,7,5,0,0,0,0,0,0,7
Google Toddler Raglan Shirt Blue Heather/Navy,9,7,5,5,4,6,1,0,0,0,0,0,4
Google Toddler Short Sleeve T-shirt Green,2,0,1,3,0,0,0,0,0,0,0,0,4
Google Toddler Short Sleeve T-shirt Grey,1,1,2,12,21,13,10,8,0,0,0,0,6
Google Toddler Short Sleeve T-shirt Royal Blue,2,1,0,11,3,12,4,1,0,0,0,0,6
Google Toddler Short Sleeve T-shirt Yellow,1,3,0,1,0,0,0,0,0,0,0,0,4
Google Toddler Short Sleeve Tee Red,2,1,1,4,2,10,8,15,13,13,0,0,5
Google Toddler Short Sleeve Tee White,8,5,3,9,6,11,10,33,5,0,0,0,5
Google Toddler Sports T-shirt Red,0,0,2,0,1,5,3,2,0,0,0,0,1
Google Tote Bag,14,1,8,1,12,6,4,17,8,1,0,0,3
Google Tri-blend Hoodie Grey,15,8,18,14,10,14,16,30,17,0,0,0,3
Google Trucker Hat,8,7,5,9,13,8,0,0,1,0,0,0,7
Google Twill Cap,23,33,35,38,27,38,32,40,34,59,76,111,0
Google Vintage Henley Grey/Black,4,9,17,13,10,9,11,23,4,4,0,0,3
Google Women's 1/4 Zip Jacket Charcoal,3,4,2,2,0,4,6,10,4,8,1,0,5
Google Women's 1/4 Zip Performance Pullover Black,2,0,4,9,2,3,8,15,10,1,0,0,5
Google Women's 1/4 Zip Performance Pullover Two-Tone Blue,3,1,2,6,4,5,6,10,10,10,0,0,5
Google Women's Convertible Vest-Jacket Black,0,1,3,1,2,3,17,0,0,0,0,0,1
Google Women's Convertible Vest-Jacket Sea Foam Green,0,1,0,1,3,2,8,22,25,3,9,1,5
Google Women's Fleece Hoodie,24,12,23,19,24,6,4,2,3,9,4,0,7
Google Women's Lightweight Microfleece Jacket,8,9,5,0,5,5,12,22,12,8,2,0,5
Google Women's Long Sleeve Blended Cardigan Charcoal,0,0,0,1,7,7,24,18,14,24,0,0,5
Google Women's Long Sleeve Tee Lavender,5,3,9,3,3,13,15,13,10,15,0,0,5
Google Women's Performance Golf Polo Blue,1,0,1,0,1,0,3,11,7,12,26,42,0
Google Women's Performance Hero Tee Gunmetal,0,0,1,0,3,4,6,5,6,2,0,0,5
Google Women's Quilted Insulated Vest Black,4,9,6,7,2,3,2,7,3,2,0,0,3
Google Women's Quilted Insulated Vest White,1,2,3,8,3,1,6,9,6,7,1,0,5
Google Women's Scoop Neck Tee Black,4,1,1,8,13,8,46,86,46,20,3,4,5
Google Women's Scoop Neck Tee Green,2,0,3,3,0,0,0,0,0,0,0,0,4
Google Women's Scoop Neck Tee White,4,1,2,3,6,8,30,62,53,14,4,3,5
Google Women's Shell Jacket Blue/Black,0,0,0,0,1,1,2,10,8,7,10,0,5
Google Women's Short Sleeve Badge Tee Grey,0,1,3,7,5,0,10,32,15,55,32,76,0
Google Women's Short Sleeve Badge Tee Navy,1,1,1,12,15,12,14,24,2,6,13,0,1
Google Women's Short Sleeve Badge Tee Red Heather,4,4,5,1,0,0,0,0,0,0,0,0,2
Google Women's Short Sleeve Hero Tee Black,11,9,6,15,9,7,20,24,19,15,11,14,3
Google Women's Short Sleeve Hero Tee Grey,1,1,0,4,15,5,33,97,55,38,7,0,5
Google Women's Short Sleeve Hero Tee Heather,0,2,1,1,4,10,2,8,15,16,30,58,0
Google Women's Short Sleeve Hero Tee Red Heather,17,9,8,8,8,15,15,14,1,3,0,0,3
Google Women's Short Sleeve Hero Tee Sky Blue,11,11,9,8,7,7,6,11,5,2,1,2,3
Google Women's Short Sleeve Hero Tee White,26,14,29,35,14,6,16,32,8,0,3,31,3
Google Women's Short Sleeve Performance Tee Black,3,1,1,5,0,0,0,0,0,0,0,0,4
Google Women's Short Sleeve Performance Tee Charcoal,0,0,0,2,3,7,5,8,5,14,7,0,5
Google Women's Short Sleeve Performance Tee Pewter,0,0,2,0,0,1,10,6,6,10,7,0,5
Google Women's Softshell Jacket Black/Grey,0,1,0,0,0,0,0,0,1,19,1,1,0
Google Women's Tee Grey,8,1,6,2,11,11,10,22,27,32,36,80,0
Google Women's Vintage Hero Tee Black,2,3,3,19,23,24,82,118,19,0,0,0,5
Google Women's Vintage Hero Tee Lavender,1,4,4,19,40,28,17,47,45,6,0,0,1
Google Women's Vintage Hero Tee Platinum,2,0,0,0,11,1,24,25,33,8,2,0,5
Google Women's Vintage Hero Tee White,6,10,8,10,11,17,29,4,0,0,0,0,1
Google Women's Yoga Jacket Black,4,2,0,2,9,13,12,24,11,10,5,0,5
Google Women's Yoga Pants,1,4,0,1,5,3,1,0,0,0,0,0,6
Google Womens 3/4 Sleeve Baseball Raglan Heather/Black,15,6,12,10,6,7,18,3,0,0,0,0,3
Google Wool Heather Cap Heather/Navy,11,9,12,5,0,0,0,0,0,0,0,0,2
Google Youth Baseball Raglan Heather/Black,4,11,4,6,4,3,6,14,7,13,5,5,3
Google Youth Girl Hoodie,3,3,5,8,18,9,1,0,0,0,0,0,6
Google Youth Girl Tee Green,2,4,1,4,5,10,3,1,0,0,0,0,7
Google Youth Short Sleeve T-shirt Green,3,0,2,13,13,11,6,0,0,0,0,0,6
Google Youth Short Sleeve T-shirt Royal Blue,1,3,6,8,2,7,3,1,0,0,0,0,7
Google Youth Short Sleeve T-shirt Yellow,1,2,2,7,9,9,3,2,0,0,0,0,6
Google Youth Short Sleeve Tee Red,0,1,2,7,3,6,6,8,6,15,9,14,0
Google Youth Short Sleeve Tee White,2,2,6,9,2,9,8,15,9,0,0,0,5
Google Youth Sports Tee Navy,1,2,4,2,2,1,4,0,0,0,0,0,7
Google Zipper-front Sports Bag,5,4,1,4,5,7,15,0,0,0,0,0,1
Grip Highlighter Pen 3 Pack,5,1,3,14,6,4,0,0,0,0,0,0,7
Gunmetal Roller Ball Pen,1,3,2,4,4,5,22,0,0,0,0,0,1
Insulated Bottle,4,6,12,5,10,9,0,0,0,0,0,0,7
Keyboard DOT Sticker,10,12,18,18,16,18,18,17,17,21,23,0,3
Large Zipper Top Tote Bag,1,5,3,4,5,5,0,0,0,0,0,0,7
Leather and Metal Ballpoint Pen,3,4,2,14,4,8,0,0,0,0,0,0,7
Leatherette Journal,23,16,19,18,22,11,38,64,9,0,0,0,3
Maze Pen,32,21,28,29,34,37,3,32,31,40,41,46,3
Men's Softshell Jacket Black/Grey,7,6,10,4,6,6,0,2,0,9,5,0,3
Men's Weatherblock Shell Jacket Black,4,3,16,11,7,8,15,19,16,12,0,0,3
Metal Texture Roller Pen,2,0,4,5,8,5,14,26,0,0,0,0,5
Nest  Thermostat E - CA,0,0,0,0,0,0,0,0,0,3,3,4,0
Nest Cam IQ - USA,0,0,0,0,0,0,0,86,110,119,141,143,0
Nest Cam IQ Outdoor - USA (Preorder),0,0,0,0,0,0,0,0,17,51,80,0,0
Nest Cam Indoor Security Camera - CA,13,4,7,10,10,6,5,5,3,3,6,7,3
Nest Cam Indoor Security Camera - USA,376,254,305,244,251,241,268,273,212,247,274,285,3
Nest Cam Outdoor Security Camera - CA,5,5,5,6,4,8,7,2,1,6,3,8,3
Nest Cam Outdoor Security Camera - USA,358,277,316,244,237,294,289,276,194,271,247,325,3
